date	iso2c	res	exr	d_exr	capital_gains
2007-01-01	EG	31373.7056013476	5.5038	-0.19979999999999976	-5110.995395963383
2008-01-01	EG	33849.1427983926	5.5041	3.00000000000189e-4	9.41211168041021
2009-01-01	EG	33932.965766342	5.4754	-0.028700000000000614	-971.4703983138883
2010-01-01	EG	35791.7356345559	5.7926	0.3172000000000006	10763.536741083703
2011-01-01	EG	17658.6801104777	6.0169	0.2242999999999995	8028.086302830871
2012-01-01	EG	14930.4435547728	6.3057	0.28880000000000017	5099.826815905963
2013-01-01	EG	16118.0973264074	6.943	0.6372999999999998	9515.171677456703
2014-01-01	EG	14445.2120517397	7.1431	0.20009999999999994	3225.23127501412
2015-01-01	EG	15493.0273257756	7.808	0.6649000000000003	9604.62149320173
2016-01-01	EG	23204.1547059678	18.125	10.317	159841.56292002686
2017-01-01	EG	35886.9171188055	17.6808333333333	-0.4441666666666997	-10306.512048568131
2018-01-01	EG	41325.4110651377	17.8693	0.18846666666669876	6763.487646325361
2002-01-01	HU	10383.4736646763	225.16	NA	NA
2003-01-01	HU	12793.4024185651	207.92	-17.24000000000001	-179011.0859790195
2004-01-01	HU	15965.0709475829	180.29	-27.629999999999995	-353481.70882495365
2005-01-01	HU	18603.0979775891	213.58	33.29000000000002	531477.2118450351
2006-01-01	HU	21590.033806919	191.62	-21.960000000000008	-408524.03158785676
2007-01-01	HU	24051.7529961505	172.61	-19.00999999999999	-410426.54266952997
2008-01-01	HU	33873.8805828996	187.91	15.299999999999983	367991.8208411022
2009-01-01	HU	44182.738966986	188.07	0.1599999999999966	5419.82089326382
2010-01-01	HU	44988.178901216	208.65	20.580000000000013	909280.7679405723
2011-01-01	HU	48834.5021885214	240.68	32.03	1440971.3702059486
2012-01-01	HU	44670.0508044239	220.93	-19.75	-964481.4182232977
2013-01-01	HU	46507.88894758	215.67	-5.260000000000019	-234964.4672312706
2014-01-01	HU	42018.6079012031	259.13	43.46000000000001	2021232.8536618273
2015-01-01	HU	33124.4543256273	286.63	27.5	1155511.7172830852
2016-01-01	HU	25824.253667337	293.69	7.060000000000002	233858.64753892884
2017-01-01	HU	28002.4568024484	258.82	-34.870000000000005	-900491.7253800414
2018-01-01	HU	31361.2704060416	280.94	22.120000000000005	619414.3444701587
2019-01-01	HU	31831.204374707	294.74	13.800000000000011	432785.53160337446
2002-01-01	ID	32047.3846974441	8940	NA	NA
2003-01-01	ID	36253.2576915962	8465	-475	-15222507.731285948
2004-01-01	ID	36303.2915093168	9290	825	29908937.595566865
2005-01-01	ID	34730.7990492525	9830	540	19603777.41503107
2006-01-01	ID	42588.3452815939	9020	-810	-28131947.229894523
2007-01-01	ID	56924.581523296	9419	399	16992749.767355967
2008-01-01	ID	51640.6257213198	10950	1531	87151534.31216618
2009-01-01	ID	66118.9179681398	9400	-1550	-80042969.86804569
2010-01-01	ID	96210.9805840428	8991	-409	-27042637.448969174
2011-01-01	ID	110136.597662435	9068	77	7408245.504971296
2012-01-01	ID	112777.397833066	9670	602	66302231.79278587
2013-01-01	ID	99386.8262390833	12189	2519	284086265.14149326
2014-01-01	ID	111862.594561997	12440	251	24946093.38600991
2015-01-01	ID	105928.847088719	13795	1355	151573815.63150594
2016-01-01	ID	116369.601851059	13436	-359	-38028456.10485012
2017-01-01	ID	130202.925382957	13548	112	13033395.407318607
2018-01-01	ID	120654.285942922	14481	933	121479329.38229887
2002-01-01	IL	24082.8780181415	4.737	NA	NA
2003-01-01	IL	26315.0983064398	4.379	-0.35800000000000054	-8621.67033049467
2004-01-01	IL	27094.3822525438	4.308	-0.07099999999999973	-1868.3719797572187
2005-01-01	IL	28059.4145742218	4.603	0.29499999999999993	7992.842764500419
2006-01-01	IL	29153.23786399	4.225	-0.3780000000000001	-10606.458709055843
2007-01-01	IL	28518.5057473626	3.846	-0.37899999999999956	-11049.077150452198
2008-01-01	IL	42513.241646733	3.802	-0.04400000000000004	-1254.8142528839555
2009-01-01	IL	60611.3551806685	3.775	-0.027000000000000135	-1147.8575244617966
2010-01-01	IL	70907.310771311	3.549	-0.22599999999999998	-13698.16627083108
2011-01-01	IL	74874.1102934968	3.821	0.27200000000000024	19286.788529796606
2012-01-01	IL	75907.6187009338	3.733	-0.08800000000000008	-6588.921705827724
2013-01-01	IL	81785.5182328202	3.471	-0.262	-19887.796099644656
2014-01-01	IL	86101.2566224878	3.889	0.4179999999999997	34186.34662131882
2015-01-01	IL	90575.018408045	3.902	0.013000000000000345	1119.316336092371
